Kotetsu Boku,[u'Joachim Hansen']
Homer Moore,[u'Evan Tanner']
Wagnney Fabiano,"[u'Joseph Benavidez', u'Frank Gomez', u'Clint Godfrey', u'Mackens Semerzier', u'Fredson Paixao', u'Akitoshi Tamura']"
Jakob Lovstad,[u'Michael Bisping']
Brendan Schaub,"[u'Travis Browne', u'Andrei Arlovski', u'Matt Mitrione', u'Lavar Johnson', u'Ben Rothwell', u'Mirko Filipovic', u'Gabriel Gonzaga', u'Chris Tuchscherer', u'Chase Gormley', u'Roy Nelson']"
Mark Holst,"[u'Paul Sass', u'John Gunderson']"
Mike Easton,"[u'Yves Jabouin', u'T.J. Dillashaw', u'Brad Pickett', u'Raphael Assuncao', u'Ivan Menjivar', u'Jared Papazian', u'Byron Bloodworth']"
Zelg Galesic,"[u'Kazushi Sakuraba', u'Taiei Kin', u'Magomed Sultanakhmedov', u'Makoto Takimoto']"
Yoshiyuki Yoshida,"[u'Mike Guymon', u'Anthony Johnson', u'Brandon Wolff', u'Josh Koscheck']"
Brandon Cash,[u'John Devine']
Michihiro Omigawa,"[u'Tatsuya Kawajiri', u'Manvel Gamburyan', u'Iuri Alcantara', u'Jason Young', u'Darren Elkins', u'Chad Mendes', u'Cole Escovedo', u'Hiroyuki Takaya', u'Thiago Tavares', u'Matt Wiman', u'Aaron Riley']"
Mitch Gagnon,"[u'Roman Salazar', u'Tim Gorman', u'Dustin Kimura', u'Walel Watson', u'Bryan Caraway']"
Masakazu Imanari,"[u'Antonio Banuelos', u'Abel Cullum', u'Hideo Tokoro', u'Keisuke Fujiwara', u'Kenji Osawa', u'Bibiano Fernandes', u'Atsushi Yamamoto', u'Joachim Hansen', u'Luiz Firmino']"
Chris Yee,[u'Scott Graham']
Anistavio Medeiros,[u'Rodrigo Damm']
Chris Liguori,[u'Keith Rockel']
David Douglas,"[u'Caros Fodor', u'Nick Gonzalez', u'Dominic Clark', u'Justin Wilcox']"
Brian Geraghty,[u'Matt Wiman']
Rulon Gardner,[u'Hidehiko Yoshida']
Naoki Matsushita,[u'Hiroyuki Abe']
Drew Dober,"[u'Nick Hein', u'Sean Spencer', u'Lumumba Sayers']"
Ronald Jhun,"[u'Eugene Jackson', u'Chris Lytle', u'Jermaine Andre']"
Dustin Poirier,"[u'Conor McGregor', u'Akira Corassani', u'Diego Brandao', u'Erik Koch', u'Cub Swanson', u'Jonathan Brookins', u'Max Holloway', u'Pablo Garza', u'Jason Young', u'Josh Grispi', u'Zachary Micklewright', u'Danny Castillo']"
Yan Pellerin,[u'Rich Franklin']
Antoni Hardonk,"[u'Pat Barry', u'Cheick Kongo', u'Mike Wessel', u'Eddie Sanchez', u'Colin Robinson', u'Frank Mir', u'Justin McCully', u'Sherman Pendergarst']"
CJ Keith,"[u'Francisco Trinaldo', u'Ramsey Nijem']"
Terry Martin,"[u'Scott Smith', u'Cory Devela', u'Vitor Belfort', u'Marvin Eastman', u'Chris Leben', u'Ivan Salaverry', u'Jorge Rivera', u'Jason Lambert', u'James Irvin']"
Anthony Pettis,"[u'Gilbert Melendez', u'Benson Henderson', u'Donald Cerrone', u'Joe Lauzon', u'Jeremy Stephens', u'Clay Guida', u'Benson Henderson', u'Shane Roller', u'Alex Karalexis', u'Danny Castillo', u'Bart Palaszewski', u'Mike Campbell']"
Michael McDonald,[u'Lyoto Machida']
James Zikic,"[u'Vitor Belfort', u'Phillip Miller']"
Orlando Wiet,"[u'Robert Lucarelli', u'Remco Pardoel']"
Keigo Kunihara,[u'Marcio Cruz']
Clint Godfrey,"[u'Michael McDonald', u'Wagnney Fabiano']"
Yoshiro Maeda,"[u'Bibiano Fernandes', u'Hideo Tokoro', u'Kenji Osawa', u'Cole Escovedo', u'Chase Beebe', u'Hiroyuki Takaya', u'Micah Miller', u'Rani Yahya', u'Miguel Torres', u'Charlie Valencia', u'Joe Pearson', u'Charles Bennett']"
Roman Salazar,[u'Mitch Gagnon']
Tomohiko Hashimoto,[u'Alistair Overeem']
Vik Grujic,"[u'Chris Clements', u'Chris Indich', u'Nordine Taleb']"
Louis Gaudinot,"[u'Phil Harris', u'Timothy Elliott', u'John Lineker', u'Johnny Bedford']"
Jutaro Nakao,"[u'Marcus Aurelio', u'Shinya Aoki', u'Sean Sherk', u'Tony DeSouza']"
Adam Lynn,"[u'Josh Thomson', u'Jay Hieron']"
