Kotetsu Boku,[u'Joachim Hansen']
Dominick Cruz,"[u'Takeya Mizugaki', u'Demetrious Johnson', u'Urijah Faber', u'Scott Jorgensen', u'Joseph Benavidez', u'Brian Bowles', u'Joseph Benavidez', u'Ivan Lopez', u'Ian McCall', u'Charlie Valencia', u'Urijah Faber']"
Patrick Smith,"[u'Rudyard Moncayo', u'Scott Morris', u'Royce Gracie', u'Ray Wizard', u'Johnny Rhodes', u'Ken Shamrock']"
Cathal Pendred,"[u'Gasan Umalatov', u'Mike King']"
Darrel Gholar,[u'Evan Tanner']
Joe Proctor,"[u'Justin Salas', u'Cristiano Marcello', u'Ramsey Nijem', u'Jeremy Larsen']"
Daiki Hata,"[u'Mitsuhiro Ishida', u'Kazuyuki Miyata', u'Hideo Tokoro']"
Brandon Michaels,[u'Raul Castillo']
Curt Warburton,"[u'Joe Lauzon', u'Maciej Jewtuszko', u'Spencer Fisher']"
Mauricio Rua,"[u'Dan Henderson', u'Chael Sonnen', u'Alexander Gustafsson', u'Brandon Vera', u'Dan Henderson', u'Forrest Griffin', u'Jon Jones', u'Lyoto Machida', u'Lyoto Machida', u'Chuck Liddell', u'Mark Coleman', u'Forrest Griffin', u'Alistair Overeem', u'Kazuhiro Nakamura', u'Kevin Randleman', u'Cyrille Diabate', u'Mark Coleman', u'Ricardo Arona', u'Alistair Overeem', u'Quinton Jackson', u'Hiromitsu Kanehara', u'Yasuhito Namekawa', u'Akihiro Gono', u'Akira Shoji', u'Erick Wanderlei', u'Renato Sobral', u'Evangelista Santos', u'Angelo Antonio', u'Rafael Freitas']"
Kurt Holobaugh,"[u'Steven Siler', u'Pat Healy']"
Dave Phillips,[u'Dan Miller']
Bobby Southworth,"[u'Renato Sobral', u'Anthony Ruiz', u'Anthony Ruiz', u'Bill Mahood', u'Vernon White', u'James Irvin', u'Sam Hoger', u'Vitor Belfort']"
Pablo Garza,"[u'Diego Brandao', u'Mark Hominick', u'Dennis Bermudez', u'Dustin Poirier', u'Yves Jabouin', u'Fredson Paixao', u'Tiequan Zhang']"
Dave Herman,"[u'Gabriel Gonzaga', u'Roy Nelson', u'Stefan Struve', u'Ron Waterman']"
Hector Lombard,"[u'Jake Shields', u'Nate Marquardt', u'Yushin Okami', u'Rousimar Palhares', u'Tim Boetsch', u'Gegard Mousasi', u'Akihiro Gono']"
Eric Schwartz,[u'Glover Teixeira']
Pedro Nobre,[u'Iuri Alcantara']
Katsuhiko Nagata,"[u'Vitor Ribeiro', u'Shinya Aoki', u'Artur Oumakhanov', u'Yoshihiro Akiyama']"
Alex Caceres,"[u'Masanori Kanehara', u'Urijah Faber', u'Sergio Pettis', u'Roland Delorme', u'Motonobu Tezuka', u'Damacio Page', u'Edwin Figueroa', u'Cole Escovedo', u'Jimy Hettes', u'Mackens Semerzier']"
Eddie Mendez,"[u'Daniel Sarafian', u'Fernando Gonzalez']"
Nah-Shon Burrell,"[u'Stephen Thompson', u'Yuri Villefort', u'Chris Spang', u'James Terry', u'Lukasz Les', u'Joe Ray']"
Brandon Magana,[u'Brandon Thatch']
Ryan Larson,[u'Erik Apple']
Victor Valenzuela,[u'Edson Berto']
Masakatsu Funaki,"[u'Ikuhisa Minowa', u'Kiyoshi Tamura', u'Kazushi Sakuraba']"
Peter Sobotta,"[u'Pawel Pawlak', u'Amir Sadollah', u'James Wilks', u'Paul Taylor']"
Imani Lee,[u'Ikuhisa Minowa']
Luiz Azeredo,"[u'Tatsuya Kawajiri', u'Joachim Hansen', u'Takanori Gomi', u'Naoyuki Kotani', u'Takanori Gomi', u'Luiz Firmino', u'Anderson Silva']"
Kiyoshi Tamura,"[u'Kazushi Sakuraba', u'Masakatsu Funaki', u'Ikuhisa Minowa', u'Makoto Takimoto', u'Aliev Makhmud', u'Rony Sefo', u'Hidehiko Yoshida', u'Nobuhiko Takada', u'Bob Sapp', u'Wanderlei Silva']"
Chris Horodecki,"[u'Donald Cerrone', u'Ed Ratcliff', u'Danny Downes', u'Anthony Njokuani', u'Bart Palaszewski']"
Ivan Jorge,"[u'Rodrigo Damm', u'Keith Wisniewski']"
James Wilks,"[u'Claude Patrick', u'Peter Sobotta', u'Matt Brown', u'DaMarques Johnson']"
Carl Seumanutafa,[u'Lavar Johnson']
Mark Munoz,"[u'Gegard Mousasi', u'Lyoto Machida', u'Tim Boetsch', u'Chris Weidman', u'Chris Leben', u'Demian Maia', u'CB Dollaway', u'Aaron Simpson', u'Yushin Okami', u'Kendall Grove', u'Ryan Jensen', u'Nick Catone', u'Matt Hamill', u'Ricardo Barros', u'Chuck Grigsby']"
Mike Wessel,[u'Antoni Hardonk']
Kalib Starnes,"[u'Nate Quarry', u'Alan Belcher', u'Chris Leben', u'Yushin Okami', u'Danny Abbadi']"
Manny Tapia,"[u'Eddie Wineland', u'Akitoshi Tamura', u'Miguel Torres', u'Antonio Banuelos', u'Brandon Foxworth']"
Josh Burkman,"[u'Pete Sell', u'Dustin Hazelett', u'Mike Swick', u'Forrest Petz', u'Karo Parisyan', u'Chad Reiner', u'Josh Neer', u'Jon Fitch', u'Drew Fickett', u'Sammy Morgan']"
Jesse Sanders,[u'Brock Larson']
Lyoto Machida,"[u'Chris Weidman', u'Gegard Mousasi', u'Mark Munoz', u'Phil Davis', u'Dan Henderson', u'Ryan Bader', u'Jon Jones', u'Randy Couture', u'Quinton Jackson', u'Mauricio Rua', u'Mauricio Rua', u'Rashad Evans', u'Thiago Silva', u'Tito Ortiz', u'Kazuhiro Nakamura', u'David Heath', u'Sam Hoger', u'Vernon White', u'Dimitiri Wanderley', u'BJ Penn', u'Sam Greco', u'Michael McDonald', u'Rich Franklin', u'Stephan Bonnar', u'Kengo Watanabe']"
Jake Matthews,"[u'Vagner Rocha', u'Dashon Johnson']"
Amar Suloev,"[u'Denis Kang', u'Murilo Bustamante', u'Paulo Filho', u'Dean Lister', u'Phil Baroni', u'Chuck Liddell']"
Erik Apple,"[u'Ryan Larson', u'Bobby Voelker', u'Brock Larson']"
Ulysses Gomez,"[u'Phil Harris', u'John Moraga']"
Adam Cella,[u'Tor Troeng']
Nate Diaz,"[u'Gray Maynard', u'Josh Thomson', u'Benson Henderson', u'Jim Miller', u'Donald Cerrone', u'Takanori Gomi', u'Rory MacDonald', u'Marcus Davis', u'Rory Markham', u'Gray Maynard', u'Melvin Guillard', u'Joe Stevenson', u'Clay Guida', u'Josh Neer', u'Kurt Pellegrino', u'Alvin Robinson', u'Junior Assuncao', u'Manvel Gamburyan', u'Hermes Franca', u'Joe Hurley', u'Gilbert Rael', u'Tony Juarez', u'Alejandro Garcia']"
Egidijus Valavicius,[u'Yasuhito Namekawa']
Frank Lester,[u'Nick Osipczak']
Ryo Chonan,"[u'Hayato Sakurai', u'Andrews Nakahara', u'TJ Grant', u'Brad Blackburn', u'Roan Carneiro', u'Karo Parisyan', u'Paulo Filho', u'Joey Villasenor', u'Dan Henderson', u'Phil Baroni', u'Antonio Schembri', u'Anderson Silva', u'Carlos Newton', u'Ricardo Almeida']"
Collin Hart,[u'Luke Barnatt']
George Sotiropoulos,"[u'KJ Noons', u'Ross Pearson', u'Dennis Siver', u'Joe Lauzon', u'Kurt Pellegrino', u'Joe Stevenson', u'Jason Dent', u'George Roop', u'Roman Mitichyan', u'Billy Miles', u'Shinya Aoki']"
Randy Couture,"[u'Lyoto Machida', u'James Toney', u'Mark Coleman', u'Brandon Vera', u'Brock Lesnar', u'Gabriel Gonzaga', u'Tim Sylvia', u'Chuck Liddell', u'Chuck Liddell', u'Vitor Belfort', u'Vitor Belfort', u'Tito Ortiz', u'Chuck Liddell', u'Ricco Rodriguez', u'Josh Barnett', u'Pedro Rizzo', u'Pedro Rizzo', u'Kevin Randleman', u'Enson Inoue', u'Maurice Smith', u'Vitor Belfort', u'Tony Halme', u'Steven Graham']"
Joey Gilbert,[u'BJ Penn']
Antwain Britt,"[u'Lumumba Sayers', u'Rafael Cavalcante', u'Scott Lighty']"
Hans Stringer,"[u'Fabio Maldonado', u'Francimar Barroso']"
Bryan Caraway,"[u'Raphael Assuncao', u'Erik Perez', u'Johnny Bedford', u'Takeya Mizugaki', u'Mitch Gagnon', u'Dustin Neace', u'Fredson Paixao', u'Mark Hominick', u'Alex Zuniga', u'Alvin Cacdac']"
Claude Patrick,"[u'Brian Ebersole', u'Daniel Roberts', u'James Wilks', u'Ricardo Funch']"
Kris McCray,"[u'John Hathaway', u'Court McGee']"
Bill Cooper,"[u'Matt Ricehouse', u'Maka Watson']"
Terrell Brown,[u'Patrick Cummins']
Matt Mitrione,"[u'Derrick Lewis', u'Shawn Jordan', u'Brendan Schaub', u'Roy Nelson', u'Cheick Kongo', u'Christian Morecraft', u'Tim Hague', u'Joey Beltran', u'Kevin Ferguson', u'Marcus Jones']"
Rickson Gracie,"[u'Nobuhiko Takada', u'Nobuhiko Takada']"
Ryan Benoit,[u'Josh Sampo']
Wes Albritton,[u'Tito Ortiz']
Vladimir Matyushenko,"[u'Ryan Bader', u'Alexander Gustafsson', u'Jason Brilz', u'Alexandre Ferreira', u'Jon Jones', u'Eliot Marshall', u'Igor Pokrajac', u'Alex Schoenauer', u'Andrei Arlovski', u'Pedro Rizzo', u'Travis Wiuff', u'Tito Ortiz', u'Yuki Kondo']"
Mikhail Iloukhine,[u'Quinton Jackson']
Hermes Franca,"[u'Tyson Griffin', u'Marcus Aurelio', u'Frankie Edgar', u'Sean Sherk', u'Spencer Fisher', u'Nate Diaz', u'Jamie Varner', u'Joe Jordan', u'Yves Edwards', u'Josh Thomson', u'Caol Uno', u'Richard Crunkilton']"
Tor Troeng,"[u'Krzysztof Jotko', u'Trevor Smith', u'Rafael Natal', u'Adam Cella']"
Cung Le,"[u'Michael Bisping', u'Rich Franklin', u'Patrick Cote', u'Wanderlei Silva', u'Scott Smith', u'Scott Smith', u'Frank Shamrock', u'Sammy Morgan', u'Tony Fryklund', u'Brian Warren', u'Mike Altman']"
Forrest Griffin,"[u'Tito Ortiz', u'Mauricio Rua', u'Rich Franklin', u'Tito Ortiz', u'Anderson Silva', u'Rashad Evans', u'Quinton Jackson', u'Mauricio Rua', u'Hector Ramirez', u'Keith Jardine', u'Stephan Bonnar', u'Tito Ortiz', u'Elvis Sinosic', u'Bill Mahood', u'Stephan Bonnar', u'Edson Silva', u'Chael Sonnen', u'Jeremy Horn']"
Bryan Humes,[u'Gabriel Salinas-Jones']
John Cholish,"[u'Gleison Tibau', u'Danny Castillo', u'Mitch Clarke', u'Marc Stevens']"
Lee Murray,"[u'Anderson Silva', u'Jorge Rivera']"
Jeremy Jackson,"[u'Pete Spratt', u'Nick Diaz', u'Joe Stevenson']"
Gasan Umalatov,"[u'Cathal Pendred', u'Paulo Thiago', u'Neil Magny']"
Rory Markham,"[u'Nate Diaz', u'Dan Hardy', u'Brodie Farber']"
Jason Godsey,"[u'Jeremy Horn', u'Pete Williams']"
Matt Arroyo,"[u'Dan Cramer', u'Matt Brown', u'John Kolosci']"
Joe Benoit,[u'Blas Avena']
Guto Inocente,"[u'Anthony Perosh', u'Derrick Lewis', u'Virgil Zwicker']"
Masanori Suda,[u'Murilo Bustamante']
Guy Mezger,"[u'Yoshihisa Yamamoto', u'Ricardo Arona', u'Chuck Liddell', u'Egan Inoue', u'Alexander Otsuka', u'Wanderlei Silva', u'Masaaki Satake', u'Kazushi Sakuraba', u'Akira Shoji', u'Tito Ortiz', u'Tito Ortiz', u'Christophe Leninger', u'John Dowdy', u'Jason Fairn']"
Marc Stevens,[u'John Cholish']
Hidehiko Yoshida,"[u'Satoshi Ishii', u'Josh Barnett', u'James Thompson', u'Mirko Filipovic', u'Yosuke Nishijima', u'Naoya Ogawa', u'David Abbott', u'Wanderlei Silva', u'Rulon Gardner', u'Mark Hunt', u'Royce Gracie', u'Wanderlei Silva', u'Kiyoshi Tamura', u'Don Frye']"
Joe Doerksen,"[u'Dan Miller', u'CB Dollaway', u'Tom Lawlor', u'Jason MacDonald', u'Ed Herman', u'Paulo Filho', u'Nate Marquardt', u'Matt Lindland', u'Patrick Cote', u'Joe Riggs', u'Chris Leben']"
Jan Blachowicz,[u'Ilir Latifi']
Demetrious Johnson,"[u'Chris Cariaso', u'Ali Bagautinov', u'Joseph Benavidez', u'John Moraga', u'John Dodson', u'Joseph Benavidez', u'Ian McCall', u'Ian McCall', u'Dominick Cruz', u'Miguel Torres', u'Norifumi Yamamoto', u'Damacio Page', u'Nick Pace', u'Brad Pickett']"
Ryan Thomas,"[u'Matt Brown', u'Ben Saunders']"
Brad Pickett,"[u'Chico Camus', u'Ian McCall', u'Neil Seery', u'Michael McDonald', u'Mike Easton', u'Eddie Wineland', u'Yves Jabouin', u'Damacio Page', u'Renan Barao', u'Ivan Menjivar', u'Scott Jorgensen', u'Demetrious Johnson', u'Kyle Dietz']"
Ray Routh,[u'Crafton Wallace']
Jon Fitch,"[u'Demian Maia', u'Erick Silva', u'Johny Hendricks', u'BJ Penn', u'Thiago Alves', u'Ben Saunders', u'Mike Pierce', u'Paulo Thiago', u'Akihiro Gono', u'Georges St-Pierre', u'Chris Wilson', u'Diego Sanchez', u'Roan Carneiro', u'Luigi Fioravanti', u'Kuniyoshi Hironaka', u'Thiago Alves', u'Josh Burkman', u'Brock Larson', u'Jeff Joslin']"
Yuki Sasaki,"[u'Dean Lister', u'Rodrigo Gracie']"
Melchor Manibusan,[u'Tatsuya Kawajiri']
Rick Roufus,[u'Maurice Smith']
Taiei Kin,"[u'Zelg Galesic', u'Ikuhisa Minowa', u'Yoshihiro Akiyama']"
Rob Yundt,"[u'Rob Kimmons', u'Ricardo Almeida']"
Rory MacDonald,"[u'Tarec Saffiedine', u'Tyron Woodley', u'Demian Maia', u'Robbie Lawler', u'Jake Ellenberger', u'BJ Penn', u'Che Mills', u'Mike Pyle', u'Nate Diaz', u'Carlos Condit', u'Mike Guymon']"
Luke Rockhold,"[u'Michael Bisping', u'Tim Boetsch', u'Vitor Belfort', u'Tim Kennedy', u'Keith Jardine', u'Paul Bradley', u'Jesse Taylor', u'Cory Devela', u'Buck Meredith', u'Nik Theotikos', u'Josh Neal']"
Anthony Smith,"[u'Roger Gracie', u'Lumumba Sayers', u'Adlan Amagov', u'Ben Lagman']"
Gilbert Aldana,"[u'Cheick Kongo', u'Paul Buentello']"
Rodrigo Ruas,[u'Tony Fryklund']
Lucas Gamaza,[u'James Terry']
Chad Laprise,"[u'Yosdenis Cedeno', u'Olivier Aubin-Mercier']"
James McSweeney,"[u'Fabio Maldonado', u'Travis Browne', u'Darrill Schoonover']"
Mike Ricci,"[u'Myles Jury', u'Colin Fletcher', u'Colton Smith']"
Aaron Simpson,"[u'Mike Pierce', u'Kenny Robertson', u'Ronny Markes', u'Eric Schafer', u'Brad Tavares', u'Mario Miranda', u'Mark Munoz', u'Chris Leben', u'Tom Lawlor', u'Ed Herman', u'Tim McKenzie', u'David Avellan']"
Bryson Kamaka,[u'Luke Stewart']
Marlon Sims,[u'Billy Evangelista']
John Clarke,[u'Joe Ray']
Eddie Alvarez,"[u'Donald Cerrone', u'Katsunori Kikuno', u'Shinya Aoki', u'Tatsuya Kawajiri', u'Joachim Hansen', u'Andre Amado']"
Lowell Anderson,[u'John Lewis']
Michael Bravo,[u'Estevan Payan']
George Allen,[u'Keith Jardine']
Naoyuki Kotani,"[u'Yan Cabral', u'Norman Parke', u'Dennis Siver', u'Thiago Tavares', u'Luiz Azeredo']"
Takayuki Okada,[u'Ricco Rodriguez']
Goran Reljic,"[u'Krzysztof Soszynski', u'Kendall Grove', u'CB Dollaway', u'Wilson Gouveia']"
Gideon Ray,"[u'Charles McCarthy', u'Mike Swick', u'David Loiseau']"
Heath Herring,"[u'Brock Lesnar', u'Cheick Kongo', u'Brad Imes', u""Jake O'Brien"", u'Hirotaka Yokoi', u'Yoshiki Takahashi', u'Gan McGee', u'Yoshihisa Yamamoto', u'Mirko Filipovic', u'Fedor Emelianenko', u'Iouri Kotchkine', u'Igor Vovchanchyn', u'Mark Kerr', u'Vitor Belfort', u'Denis Sobolev', u'Enson Inoue', u'Tom Erikson', u'Willie Peeters']"
Papy Abedi,"[u'Dylan Andrews', u'Besam Yousef', u'James Head', u'Thiago Alves']"
Michinori Tanaka,[u'Roland Delorme']
Dan Christison,"[u'Frank Mir', u'Brad Imes']"
Nissen Osterneck,"[u'Jorge Rivera', u'Jake Rosholt']"
Carlo Prater,"[u'Marcus LeVesseur', u'TJ Grant', u'Erick Silva', u'Bryan Travers', u'Brock Larson', u'Carlos Condit']"
Ryuki Ueyama,"[u'Ikuhisa Minowa', u'Sean Sherk']"
Joe Veres,"[u'Corey Hill', u'Gray Maynard']"
Luke Barnatt,"[u'Roger Narvaez', u'Sean Strickland', u'Mats Nilsson', u'Andrew Craig', u'Collin Hart']"
Justin Salas,"[u'Joe Proctor', u'Ben Wall', u'Thiago Tavares', u'Aaron Riley', u'Tim Means', u'Anton Kuivanen']"
Bob Schrijber,"[u'Wanderlei Silva', u'Daijiro Matsui']"
Joe Son,[u'Keith Hackney']
Gabe Lemley,[u'Gilbert Melendez']
Cory Devela,"[u'Bobby Voelker', u'Luke Rockhold', u'Terry Martin', u'Joe Riggs']"
Juan Mott,[u'Akira Shoji']
Stephen Palling,[u'Joao Roque']
Ben Rothwell,"[u'Alistair Overeem', u'Brandon Vera', u'Gabriel Gonzaga', u'Brendan Schaub', u'Mark Hunt', u'Gilbert Yvel', u'Cain Velasquez', u'Chris Guillen', u'Andrei Arlovski', u'Ricco Rodriguez', u'Krzysztof Soszynski', u'Roy Nelson', u'Devin Cole', u'Bryan Vetell', u'Krzysztof Soszynski']"
Paul Varelans,"[u'Kimo Leopoldo', u'Joe Moreira', u'Dan Severn', u'Mark Hall', u'Marco Ruas', u'Gerry Harris', u'Cal Worsham', u'David Abbott']"
James Thompson,"[u'Yusuke Kawaguchi', u'Alistair Overeem', u'Kevin Ferguson', u'Brett Rogers', u'Don Frye', u'Hidehiko Yoshida', u'Kazuyuki Fujita', u'Alexandru Lungu', u'Henry Miller', u'Aleksander Emelianenko']"
Satoshi Honma,"[u'Ron Waterman', u'Francisco Bueno', u'Yuhi Sano']"
Chad Leonhardt,[u'Mike Bronzoulis']
David Dodd,"[u'Tyrone Roberts', u'Travis Fulton']"
Josh LaBerge,[u'Anthony Leone']
Kazuhiro Hamanaka,"[u'Ryan Gracie', u'Antonio Schembri']"
Jacob Volkmann,"[u'Bobby Green', u'Shane Roller', u'Paul Sass', u'Efrain Escudero', u'Danny Castillo', u'Antonio McKee', u'Paul Kelly', u'Ronys Torres', u'Martin Kampmann', u'Paulo Thiago']"
Brad Blackburn,"[u'DaMarques Johnson', u'Amir Sadollah', u'Edgar Garcia', u'Ryo Chonan', u'James Giboo']"
Niklas Backstrom,"[u'Mike Wilkinson', u'Tom Niinimaki']"
Lodune Sincaid,"[u'Jason Miller', u'Nate Quarry']"
Jason Reinhardt,"[u'Edwin Figueroa', u'Tiequan Zhang', u'Joe Lauzon']"
Marcelo Brito,[u'John Alessio']
Sam Liera,[u'Luke Stewart']
Rodney Wallace,"[u'Phil Davis', u'Jared Hamman', u'Brian Stann']"
John Makdessi,"[u'Alan Patrick', u'Renee Forte', u'Daron Cruickshank', u'Sam Stout', u'Anthony Njokuani', u'Dennis Hallman', u'Kyle Watson', u'Pat Audinwood']"
Hidehiko Hasegawa,[u'Hayato Sakurai']
Ryan McGillivray,[u'Shamar Bailey']
Tyson Griffin,"[u'Bart Palaszewski', u'Manvel Gamburyan', u'Nik Lentz', u'Takanori Gomi', u'Evan Dunham', u'Hermes Franca', u'Sean Sherk', u'Marcus Aurelio', u'Gleison Tibau', u'Thiago Tavares', u'Clay Guida', u'Frankie Edgar', u'David Lee', u'Duane Ludwig']"
Wes Combs,"[u'Wilson Gouveia', u'Mike Nickels']"
Yokthai Sithoar,[u'Shinya Aoki']
Jens Pulver,"[u'Javier Vazquez', u'Josh Grispi', u'Urijah Faber', u'Leonard Garcia', u'Urijah Faber', u'Cub Swanson', u'BJ Penn', u'Joe Lauzon', u'Kenji Arai', u'Hayato Sakurai', u'Tomomi Iwama', u'Takanori Gomi', u'BJ Penn', u'Dennis Hallman', u'Caol Uno', u'John Lewis', u'Joao Roque', u'David Velasquez', u'Alfonso Alcarez', u'Joe Stevenson']"
Louis Taylor,"[u'Joe Riggs', u'Nate Moore']"
Anthony Ruiz,"[u'Aaron Rosa', u'Trevor Prangley', u'Bobby Southworth', u'Bobby Southworth', u'Trevor Prangley']"
Yusup Saadulaev,[u'Hideo Tokoro']
Tim Kennedy,"[u'Yoel Romero', u'Michael Bisping', u'Rafael Natal', u'Roger Gracie', u'Trevor Smith', u'Luke Rockhold', u'Robbie Lawler', u'Melvin Manhoef', u'Trevor Prangley', u'Zak Cummings', u'Nick Thompson', u'Mack Brewer']"
Wayne Cole,"[u'Rafael Cavalcante', u'Mike Kyle']"
Alistair Overeem,"[u'Ben Rothwell', u'Frank Mir', u'Travis Browne', u'Brock Lesnar', u'Fabricio Werdum', u'Todd Duffee', u'Brett Rogers', u'Kazuyuki Fujita', u'James Thompson', u'Tony Sylvester', u'Gary Goodridge', u'Mirko Filipovic', u'Mark Hunt', u'Paul Buentello', u'Sergei Kharitonov', u'Michael Knaap', u'Mauricio Rua', u'Ricardo Arona', u'Vitor Belfort', u'Fabricio Werdum', u'Nikolajus Cilkinas', u'Sergei Kharitonov', u'Mauricio Rua', u'Igor Vovchanchyn', u'Vitor Belfort', u'Hiromitsu Kanehara', u'Tomohiko Hashimoto', u'Chuck Liddell', u'Mike Bencic', u'Bazigit Atajev', u'Yusuke Imamura']"
Vitor Ribeiro,"[u'Justin Wilcox', u'Lyle Beerbohm', u'Shinya Aoki', u'Katsuhiko Nagata', u'Eddie Yagin', u'Joe Hurley', u'Charlie Kohler']"
Mike Stumpf,[u'Pascal Krauss']
Justin Robbins,[u'Antonio Banuelos']
Bart Palaszewski,"[u'Cole Miller', u'Diego Nunes', u'Hatsu Hioki', u'Tyson Griffin', u'Kamal Shalorus', u'Zachary Micklewright', u'Karen Darabedyan', u'Anthony Pettis', u'Anthony Njokuani', u'Ricardo Lamas', u'Alex Karalexis', u'Chris Horodecki']"
Fabio Silva,[u'Muhammed Lawal']
Justin Davis,[u'Dennis Hallman']
Jake O'Brien,"[u'Gegard Mousasi', u'Jon Jones', u'Christian Wellisch', u'Cain Velasquez', u'Andrei Arlovski', u'Heath Herring', u'Josh Shockman', u'Kristof Midoux']"
Josh Bryant,[u'Kyle Noke']
Danny Mitchell,"[u'Sai Wang', u'Igor Araujo']"
Roman Zentsov,"[u'Mike Russow', u'Gilbert Yvel', u'Pedro Rizzo', u'Fabricio Werdum']"
Akiyo Nishiura,"[u'Caol Uno', u'Mitsuhiro Ishida', u'Hideo Tokoro', u'Abel Cullum']"
Evan Dunham,"[u'Edson Barboza', u'Donald Cerrone', u'Gleison Tibau', u'TJ Grant', u'Nik Lentz', u'Shamar Bailey', u'Melvin Guillard', u'Sean Sherk', u'Tyson Griffin', u'Efrain Escudero', u'Marcus Aurelio', u'Per Eklund']"
Ricky Johnson,[u'Tyler Toner']
Nick Agallar,[u'Yves Edwards']
Kuniyoshi Hironaka,"[u'Katsunori Kikuno', u'Hayato Sakurai', u'Motoki Miyazawa', u'Jonathan Goulet', u'Thiago Alves', u'Forrest Petz', u'Jon Fitch', u'Shinya Aoki']"
Alex Stiebling,"[u'Chael Sonnen', u'Akira Shoji', u'Marvin Eastman', u'Anderson Silva', u'Wallid Ismail', u'Allan Goes', u'Mark Hughes']"
Seth Baczynski,"[u'Alan Jouban', u'Thiago Alves', u'Neil Magny', u'Brian Melancon', u'Mike Pierce', u'Simeon Thoresen', u'Lance Benoist', u'Matt Brown', u'Clay Harvison', u'Brad Tavares']"
Rene Kronvold,[u'Diego Sanchez']
Court McGee,"[u'Ryan LaFlare', u'Robert Whittaker', u'Josh Neer', u'Nick Ring', u'Dongi Yang', u'Ryan Jensen', u'Kris McCray']"
Lyle Beerbohm,"[u'Shinya Aoki', u'Pat Healy', u'Vitor Ribeiro', u'Duane Ludwig', u'Ray Perales']"
Brandon Melendez,[u'Joe Lauzon']
Ivan Serati,"[u'Tomasz Drwal', u'Vitor Belfort']"
Dave Jansen,"[u'Ricardo Lamas', u'Kamal Shalorus', u'Richard Crunkilton']"
Carl Toomey,[u'Yoshihiro Akiyama']
Todd Moore,"[u'Jason High', u'Mike Bronzoulis', u'Shinya Aoki', u'Shane Roller', u'John Alessio']"
Willie Peeters,[u'Heath Herring']
Brandon Visher,"[u'Yves Jabouin', u'Tyler Toner', u'Courtney Buck']"
Keith Jardine,"[u'Roger Gracie', u'Luke Rockhold', u'Gegard Mousasi', u'Matt Hamill', u'Ryan Bader', u'Thiago Silva', u'Quinton Jackson', u'Brandon Vera', u'Wanderlei Silva', u'Chuck Liddell', u'Houston Alexander', u'Forrest Griffin', u'Wilson Gouveia', u'Stephan Bonnar', u'Mike Whitehead', u'Kerry Schall', u'George Allen', u'Bryan Pardoe', u'Philip Preece', u'Amir Rahnavardi']"
John Moraga,"[u'Justin Scoggins', u'John Dodson', u'Dustin Ortiz', u'Demetrious Johnson', u'Chris Cariaso', u'Ulysses Gomez']"
Will Campuzano,"[u'Justin Scoggins', u'Sergio Pettis', u'Chris Cariaso', u'Nick Pace', u'Eddie Wineland', u'Coty Wheeler', u'Damacio Page']"
Benson Henderson,"[u'Rustam Khabilov', u'Josh Thomson', u'Anthony Pettis', u'Gilbert Melendez', u'Nate Diaz', u'Frankie Edgar', u'Frankie Edgar', u'Clay Guida', u'Jim Miller', u'Mark Bocek', u'Anthony Pettis', u'Donald Cerrone', u'Jamie Varner', u'Donald Cerrone', u'Shane Roller', u'Anthony Njokuani']"
Akitoshi Tamura,"[u'Charlie Valencia', u'Manny Tapia', u'Wagnney Fabiano']"
Bu-Kyung Jung,"[u'Daisuke Nakamura', u'Mitsuhiro Ishida', u'Shinya Aoki']"
Mike Brown,"[u'Steven Siler', u'Daniel Pineda', u'Nam Phan', u'Rani Yahya', u'Diego Nunes', u'Cole Province', u'Manvel Gamburyan', u'Anthony Morrison', u'Jose Aldo', u'Urijah Faber', u'Leonard Garcia', u'Urijah Faber', u'Jeff Curran', u'Genki Sudo']"
Mike Chandler,"[u'Salvador Woods', u'Rich Bouphanouvong']"
Evangelista Santos,"[u'Jordan Mein', u'Nick Diaz', u'Marius Zaromskis', u'Joey Villasenor', u'Gegard Mousasi', u'Yosuke Nishijima', u'Kazuhiro Nakamura', u'Mauricio Rua']"
Wataru Sakata,[u'Daniel Gracie']
Chad Griggs,"[u'Cyrille Diabate', u'Travis Browne', u'Valentijn Overeem', u'Gian Villante', u'Bobby Lashley']"
Walel Watson,"[u'Mitch Gagnon', u'T.J. Dillashaw', u'Yves Jabouin', u'Joseph Sandoval']"
Edward Faaloloto,"[u'Terry Etim', u'Michael Johnson', u'Anthony Njokuani']"
Matt Lindland,"[u'Robbie Lawler', u'Kevin Casey', u'Vitor Belfort', u'Fabio Nascimento', u'Fedor Emelianenko', u'Quinton Jackson', u'Joe Doerksen', u'Travis Lutter', u'David Terrell', u'Falaniko Vitale', u'Falaniko Vitale', u'Phil Baroni', u'Ivan Salaverry', u'Murilo Bustamante', u'Pat Miletich', u'Phil Baroni', u'Ricardo Almeida', u'Yoji Anjo']"
Alex Garcia,"[u'Neil Magny', u'Sean Spencer', u'Ben Wall']"
Daron Cruickshank,"[u'Anthony Njokuani', u'Jorge Masvidal', u'Erik Koch', u'Mike Rio', u'Adriano Martins', u'Yves Edwards', u'John Makdessi', u'Henry Martinez', u'Chris Tickle']"
